"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context [6]","Early BCE/CE","Late BCE/CE","Context [7]","Context [8]","Context [9]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Item Category","icon","Thumbnail","Published Date","Updated Date"
"Drawing d-ne-016","http://opencontext.org/media/f3a3553c-bb81-4a21-9c98-ae7795642211","https://n2t.net/ark:/28722/k27372155","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh16","","","https://opencontext.org/subjects/2027de62-624a-4096-a033-0c3c06c1b4fc","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:40Z","2025-04-02T11:23:42Z"
"Drawing d-ne-018","http://opencontext.org/media/70d6d02d-ec62-47a0-8311-c13d5bafeb09","https://n2t.net/ark:/28722/k2q52wb96","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh16","","","https://opencontext.org/subjects/2027de62-624a-4096-a033-0c3c06c1b4fc","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:18Z","2025-04-02T11:23:43Z"
"Drawing d-ne-009","http://opencontext.org/media/828b1a6a-d288-4dc5-8c21-e5bcc783cad3","https://n2t.net/ark:/28722/k2ws8zk0v","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh13","","","https://opencontext.org/subjects/9b83495d-055c-42c3-b443-64c54f0fe4de","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:21Z","2025-04-02T11:23:41Z"
"Drawing d-ne-014","http://opencontext.org/media/d10fb802-0b9a-430d-b776-9bc5da4549b5","https://n2t.net/ark:/28722/k2r216v7k","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh15","","","https://opencontext.org/subjects/388c1f79-2b23-485d-9286-a63f2dc5b2fb","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:36Z","2025-04-02T11:23:42Z"
"Drawing d-ne-007","http://opencontext.org/media/4700866b-b150-493a-bd48-6f79cd53e98d","https://n2t.net/ark:/28722/k25b0d11h","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh4","","","https://opencontext.org/subjects/af5f3428-e8ac-4017-8bb4-e46f6339c53b","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:07Z","2025-04-02T11:23:41Z"
"Drawing d-ne-013","http://opencontext.org/media/97e84d5b-a7db-454b-9e10-620f76664649","https://n2t.net/ark:/28722/k20k2n95j","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh14","","","https://opencontext.org/subjects/c9a61cac-2343-4b6f-8b30-fddd4191e77b","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:25Z","2025-04-02T11:23:42Z"
"Drawing d-ne-006","http://opencontext.org/media/8e08a129-a993-4c71-a47f-7638ffd6b668","https://n2t.net/ark:/28722/k29313t4r","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh2","","","https://opencontext.org/subjects/61705dfc-0f72-4b1c-9122-5d03823b706f","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:22Z","2025-04-02T11:23:40Z"
"Drawing d-t-008","http://opencontext.org/media/cb55d64e-8956-4f83-b3a0-c52c7d41af07","https://n2t.net/ark:/28722/k2n01ds24","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Top","","","Sphinx Rump Ledge","Feature FTd1","","https://opencontext.org/subjects/ff893d9c-764b-4fbd-aa24-7a6bb9716072","29.97526895569596","31.137322187639956","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-t-008.jpg","2017-12-23T01:02:40Z","2025-04-02T11:23:38Z"
"Drawing d-t-007","http://opencontext.org/media/fc0b1755-06dd-46d0-a464-0ae3325d9525","https://n2t.net/ark:/28722/k2rn3f644","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Top","","","Sphinx Rump Ledge","Feature FTd1","","https://opencontext.org/subjects/ff893d9c-764b-4fbd-aa24-7a6bb9716072","29.97526895569596","31.137322187639956","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-t-007.jpg","2017-12-23T01:02:39Z","2025-04-02T11:23:38Z"
"Drawing d-st-007","http://opencontext.org/media/dad7733e-7a87-4f9c-aee9-b03a61589502","https://n2t.net/ark:/28722/k2gq76156","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Terrace 1","Sphinx Temple","ST North Colonnade","","","Removal 16","","","https://opencontext.org/subjects/ad35b768-6ec4-4af5-a4e5-44d10f5ceb00","29.975389907733035","31.1382894256835","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-st-007.jpg","2017-12-23T01:04:42Z","2025-04-02T11:24:12Z"
"Drawing d-nw-004","http://opencontext.org/media/433b76a4-d91e-48ec-9821-70dbaf510957","https://n2t.net/ark:/28722/k24177z28","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northwest","","","Feature FNWa2","","","https://opencontext.org/subjects/cecae52e-d854-4798-ba27-03edfb538bd0","29.975380310025677","31.137304256746678","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-nw-004.jpg","2017-12-23T01:03:45Z","2025-04-02T11:23:51Z"
"Drawing d-n-009","http://opencontext.org/media/36b3a830-8205-4913-b856-5ea6e907f721","https://n2t.net/ark:/28722/k2445zb3n","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Removal 2","","","https://opencontext.org/subjects/71ab49d3-4cbd-4153-be9e-d7ec73e04944","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-n-009.jpg","2017-12-23T01:02:27Z","2025-04-02T11:23:34Z"
"Drawing d-n-010","http://opencontext.org/media/b3023a37-2fa7-4b28-a288-f2589b48570d","https://n2t.net/ark:/28722/k2vm4hw5c","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Removal 2","","","https://opencontext.org/subjects/71ab49d3-4cbd-4153-be9e-d7ec73e04944","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/101-drawing-d-n-010.jpg","2017-12-23T01:02:27Z","2025-04-02T11:23:34Z"
